metric,value
adf_statistic,-14.638201219497718
p_value,3.6594929018886414e-27
used_lags,19.0
n_obs,1419.0
critical_value_1pct,-3.434966750462565
critical_value_5pct,-2.8635789736973725
critical_value_10pct,-2.5678555388041384
