lookback,units,dense,stacked,MAE,RMSE,MAPE
28,64,32,False,120.42614789481512,188.47690305412598,14.388050557406629
21,64,32,False,119.73905224705895,191.52620044293852,13.865171158815748
28,64,16,True,126.99173572364418,192.78238062959593,15.478235884663238
14,64,32,False,123.19477746953352,195.87230853185656,14.14916099036067
21,32,16,False,127.07570755715162,202.23737721645415,14.392911306574193
