model,order,AIC,BIC,HQIC,logLik
"ARIMA(1,1,1)","(1, 1, 1)",14225.566427202342,14240.556471666872,14231.23904298352,-7109.783213601171
"ARIMA(0,1,1)","(0, 1, 1)",14234.536051302093,14244.529414278446,14238.317795156212,-7115.268025651047
"ARIMA(1,1,0)","(1, 1, 0)",14512.545079292828,14522.540271258791,14516.327345929096,-7254.272539646414
